ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,KitchekType,LivingRoomArea,HasBalcony,HasGarden,GardenArea
4503569,HOUSE,VILLA,,200.0,4,Flemish Brabant,Flanders,1740,hoevestraat,,FLANDERS,RESIDENTIAL,,1000.0,900.0,700.0,200,,True,True,,AS_NEW,1988,4,,,GAS,True,INSTALLED,20,,,
4611027,APARTMENT,DUPLEX,895000,200.0,3,Brussels,Brussels,1060,,,BRUSSELS,,,,,,200,5,,,True,AS_NEW,,2,,,GAS,,USA_HYPER_EQUIPPED,,,,
4614118,HOUSE,VILLA,,258.0,4,West Flanders,Flanders,8020,Leegtestraat,,FLANDERS,,,0.0,0.0,0.0,258,,,,,GOOD,1981,,,,,,,16,,,
4614119,HOUSE,HOUSE,,210.0,5,West Flanders,Flanders,8310,Leeuwerikstraat,,FLANDERS,,,0.0,0.0,0.0,210,,,True,,GOOD,1965,,,,,,,,,,
4679861,HOUSE,HOUSE,330000,,1,West Flanders,Flanders,8400,Zeedijk,,FLANDERS,,,0.0,0.0,0.0,,,,,,GOOD,,,True,,,,INSTALLED,,,,
4679862,APARTMENT,FLAT_STUDIO,,45.0,,West Flanders,Flanders,8400,Troonstraat,2,FLANDERS,,,0.0,0.0,0.0,45,,,True,,GOOD,,2,True,NON_FLOOD_ZONE,,,,,,,
4711417,HOUSE,VILLA,,717.0,6,Antwerp,Flanders,2970,,,FLANDERS,,,,,,717,7,,True,,GOOD,1998,,,,,True,,40,,True,
4718207,HOUSE,VILLA,,750.0,8,Antwerp,Flanders,2900,,,FLANDERS,,,,,,750,9,,True,True,TO_RENOVATE,1905,4,,,FUELOIL,,,40,,,
4725060,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,NON_FLOOD_ZONE,,True,INSTALLED,6,,True,155
4725061,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
4725062,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
4725063,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
4725064,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,,,True,INSTALLED,5,,True,
4725065,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
4725066,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
4725067,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,
